inst#,actual,predicted,error,prediction
226,1:0,1:0,,0.851
227,1:0,2:1,+,1
228,2:1,2:1,,0.936
229,1:0,1:0,,0.999
230,2:1,2:1,,1
231,1:0,1:0,,1
232,2:1,2:1,,1
233,2:1,1:0,+,0.995
234,1:0,1:0,,0.998
235,2:1,2:1,,1
236,1:0,2:1,+,1
237,1:0,2:1,+,0.952
238,2:1,1:0,+,0.997
239,1:0,1:0,,1
240,2:1,2:1,,0.995
241,1:0,1:0,,0.98
242,1:0,1:0,,1
243,1:0,1:0,,0.965
244,1:0,1:0,,0.999
245,1:0,1:0,,1
246,1:0,1:0,,1
247,1:0,1:0,,0.987
248,2:1,1:0,+,0.776
249,1:0,1:0,,1
250,1:0,1:0,,0.999
251,1:0,1:0,,0.999
252,1:0,1:0,,1
253,1:0,1:0,,0.999
254,1:0,1:0,,1
255,1:0,1:0,,1
256,2:1,2:1,,0.841
257,1:0,1:0,,1
258,2:1,2:1,,0.934
259,2:1,1:0,+,0.998
260,2:1,1:0,+,0.9
261,2:1,1:0,+,0.989
262,1:0,1:0,,0.999
263,1:0,1:0,,1
264,1:0,1:0,,1
265,2:1,2:1,,0.996
266,1:0,1:0,,1
267,2:1,2:1,,1
268,2:1,2:1,,1
269,1:0,1:0,,0.875
270,2:1,2:1,,1
271,2:1,2:1,,1
272,1:0,1:0,,1
273,2:1,2:1,,1
274,1:0,1:0,,0.898
275,1:0,1:0,,0.999
276,2:1,2:1,,0.999
277,2:1,2:1,,1
278,2:1,2:1,,1
279,1:0,1:0,,0.999
280,2:1,2:1,,1
281,1:0,1:0,,1
282,2:1,2:1,,1
283,2:1,1:0,+,1
284,1:0,1:0,,1
285,1:0,1:0,,1
286,1:0,1:0,,0.996
287,2:1,2:1,,0.993
288,1:0,1:0,,0.997
289,1:0,1:0,,0.999
290,1:0,1:0,,1
291,2:1,1:0,+,0.989
292,1:0,1:0,,0.999
293,1:0,1:0,,0.995
294,2:1,1:0,+,0.898
295,1:0,1:0,,1
296,2:1,2:1,,1
297,2:1,1:0,+,0.998
298,2:1,1:0,+,0.786
299,1:0,1:0,,0.999
300,1:0,1:0,,0.999
301,2:1,1:0,+,0.999
302,2:1,2:1,,1
303,1:0,1:0,,1
304,2:1,2:1,,0.85
305,1:0,1:0,,1
306,2:1,1:0,+,0.68
307,2:1,2:1,,1
308,1:0,1:0,,0.999
309,1:0,1:0,,0.979
310,2:1,1:0,+,0.875
311,1:0,1:0,,0.999
312,1:0,1:0,,1
313,1:0,1:0,,0.997
314,1:0,1:0,,0.999
315,2:1,2:1,,1
316,2:1,2:1,,1
317,1:0,1:0,,0.999
318,1:0,1:0,,1
319,1:0,1:0,,1
320,2:1,2:1,,1
321,1:0,1:0,,1
322,1:0,1:0,,0.999
323,1:0,1:0,,0.998
324,1:0,1:0,,1
325,2:1,2:1,,0.806
326,2:1,1:0,+,0.528
327,1:0,2:1,+,0.785
328,1:0,1:0,,1
329,1:0,1:0,,1
330,2:1,2:1,,0.999
331,2:1,2:1,,1
332,2:1,2:1,,1
333,1:0,1:0,,1
334,2:1,2:1,,0.991
335,1:0,1:0,,0.999
336,1:0,1:0,,0.999
337,1:0,1:0,,1
338,2:1,2:1,,1
339,2:1,2:1,,1
340,2:1,2:1,,0.871
341,2:1,2:1,,0.973
342,1:0,1:0,,1
343,2:1,2:1,,1
344,2:1,1:0,+,0.997
345,2:1,1:0,+,0.875
346,1:0,1:0,,1
347,2:1,1:0,+,0.965
348,1:0,1:0,,1
349,2:1,2:1,,1
350,1:0,1:0,,1
351,2:1,2:1,,1
352,1:0,1:0,,0.999
353,1:0,1:0,,1
354,2:1,2:1,,1
355,1:0,1:0,,0.999
356,2:1,1:0,+,0.952
357,1:0,1:0,,1
358,2:1,1:0,+,0.523
359,1:0,1:0,,0.999
360,1:0,1:0,,1
361,2:1,1:0,+,0.875
362,1:0,1:0,,0.999
363,1:0,1:0,,0.999
364,1:0,1:0,,0.997
365,2:1,1:0,+,0.999
366,2:1,2:1,,1
367,1:0,1:0,,1
368,1:0,1:0,,1
369,1:0,1:0,,0.999
370,1:0,1:0,,1
371,1:0,1:0,,1
372,1:0,1:0,,1
373,1:0,1:0,,1
374,2:1,2:1,,1
375,2:1,1:0,+,0.6
376,2:1,1:0,+,0.994
377,1:0,1:0,,0.996
378,1:0,1:0,,1
379,2:1,2:1,,0.737
380,2:1,1:0,+,0.74
381,1:0,2:1,+,0.959
382,2:1,2:1,,1
383,1:0,1:0,,0.999
384,1:0,1:0,,1
385,1:0,1:0,,0.999
386,2:1,2:1,,1
387,1:0,1:0,,1
388,1:0,1:0,,0.96
389,1:0,1:0,,1
390,2:1,1:0,+,0.875
391,2:1,2:1,,0.995
392,1:0,1:0,,0.999
393,1:0,1:0,,0.999
394,2:1,1:0,+,0.875
395,1:0,1:0,,1
396,1:0,1:0,,1
397,1:0,1:0,,1
398,1:0,1:0,,1
399,1:0,1:0,,1
400,1:0,1:0,,0.999
401,1:0,1:0,,0.982
402,1:0,1:0,,0.974
403,1:0,2:1,+,0.995
404,1:0,1:0,,0.999
405,2:1,2:1,,0.999
406,2:1,2:1,,0.664
407,2:1,2:1,,1
408,1:0,1:0,,0.771
409,1:0,1:0,,1
410,2:1,2:1,,0.899
411,2:1,1:0,+,0.968
412,2:1,2:1,,0.999
413,1:0,1:0,,0.999
414,1:0,1:0,,1
415,1:0,1:0,,0.996
416,1:0,1:0,,0.999
417,1:0,1:0,,1
418,1:0,1:0,,1
419,1:0,1:0,,0.999
420,1:0,1:0,,1
421,2:1,1:0,+,0.983
422,1:0,1:0,,1
423,1:0,1:0,,1
424,1:0,1:0,,1
425,2:1,1:0,+,0.989
426,2:1,2:1,,1
427,1:0,1:0,,1
428,1:0,1:0,,0.999
429,1:0,1:0,,1
430,2:1,1:0,+,0.995
431,2:1,1:0,+,0.992
432,2:1,1:0,+,0.939
433,2:1,1:0,+,0.875
434,1:0,1:0,,0.999
435,1:0,1:0,,1
436,1:0,1:0,,1
437,1:0,1:0,,0.999
438,1:0,1:0,,1
439,2:1,2:1,,1
440,1:0,1:0,,0.999
441,2:1,1:0,+,0.95
442,2:1,2:1,,1
443,2:1,2:1,,1
444,1:0,1:0,,0.991
445,1:0,1:0,,0.999
446,1:0,1:0,,0.999
447,2:1,1:0,+,1
448,1:0,1:0,,0.999
449,2:1,1:0,+,0.987
450,2:1,2:1,,0.999
451,1:0,1:0,,1
452,1:0,1:0,,0.999
453,1:0,1:0,,0.999
454,2:1,1:0,+,0.993
455,2:1,1:0,+,0.627
456,1:0,1:0,,0.999
457,2:1,2:1,,0.973
458,1:0,2:1,+,0.724
459,1:0,1:0,,1
460,2:1,1:0,+,1
461,1:0,1:0,,1
462,1:0,1:0,,0.999
463,2:1,2:1,,0.996
464,1:0,1:0,,1
465,2:1,2:1,,1
466,1:0,1:0,,1
467,1:0,1:0,,1
468,1:0,1:0,,1
469,1:0,1:0,,0.993
470,2:1,2:1,,1
471,1:0,1:0,,0.997
472,1:0,1:0,,1
473,1:0,1:0,,0.999
474,1:0,1:0,,0.999
475,1:0,1:0,,0.999
476,1:0,1:0,,1
477,2:1,1:0,+,0.903
478,2:1,2:1,,1
479,1:0,1:0,,1
480,1:0,1:0,,1
481,1:0,1:0,,1
482,1:0,1:0,,0.999
483,1:0,1:0,,1
484,1:0,1:0,,0.574
485,2:1,1:0,+,0.953
486,1:0,1:0,,0.999
487,1:0,1:0,,1
488,2:1,2:1,,0.998
489,2:1,2:1,,1
490,2:1,1:0,+,0.994
491,1:0,1:0,,0.999
492,1:0,1:0,,1
493,1:0,1:0,,1
494,1:0,1:0,,0.999
495,2:1,1:0,+,0.978
496,1:0,1:0,,1
497,1:0,1:0,,1
498,1:0,1:0,,1
499,1:0,1:0,,1
500,2:1,2:1,,0.998
501,2:1,2:1,,1
502,2:1,2:1,,1
503,2:1,2:1,,1
504,1:0,1:0,,0.999
505,1:0,1:0,,1
506,1:0,1:0,,0.999
507,1:0,1:0,,0.999
508,1:0,1:0,,1
509,1:0,1:0,,1
510,1:0,1:0,,1
511,1:0,1:0,,0.999
512,1:0,1:0,,1
513,2:1,2:1,,1
514,2:1,2:1,,1
515,2:1,1:0,+,0.999
516,1:0,1:0,,1
517,1:0,1:0,,0.965
518,1:0,1:0,,1
519,1:0,1:0,,1
520,1:0,1:0,,0.999
521,2:1,2:1,,1
522,2:1,1:0,+,0.999
523,2:1,2:1,,1
524,1:0,1:0,,0.999
525,2:1,2:1,,1
526,1:0,1:0,,0.997

