@RELATION pcap
@ATTRIBUTE frameNum NUMERIC
@ATTRIBUTE frameStat_0 NUMERIC
@ATTRIBUTE frameStat_1 NUMERIC
@ATTRIBUTE frameStat_2 NUMERIC
@ATTRIBUTE frameStat_3 NUMERIC
@ATTRIBUTE frameStat_4 NUMERIC
@ATTRIBUTE frameStat_5 NUMERIC
@ATTRIBUTE frameStat_6 NUMERIC
@ATTRIBUTE epoStat_0 NUMERIC
@ATTRIBUTE epoStat_1 NUMERIC
@ATTRIBUTE epoStat_2 NUMERIC
@ATTRIBUTE epoStat_3 NUMERIC
@ATTRIBUTE epoStat_4 NUMERIC
@ATTRIBUTE epoStat_5 NUMERIC
@ATTRIBUTE epoStat_6 NUMERIC
@ATTRIBUTE upStat_0 NUMERIC
@ATTRIBUTE upStat_1 NUMERIC
@ATTRIBUTE upStat_2 NUMERIC
@ATTRIBUTE upStat_3 NUMERIC
@ATTRIBUTE upStat_4 NUMERIC
@ATTRIBUTE upStat_5 NUMERIC
@ATTRIBUTE upStat_6 NUMERIC
@ATTRIBUTE non_httpFrameNum NUMERIC
@ATTRIBUTE upCounter NUMERIC
@ATTRIBUTE class {0, 1, 2}

@DATA
7,66,709,186.714285714,74,222.37980014,1.74857897853,4.40376470178,0.00018310546875,0.00518798828125,0.00260917345683,0.00311243534088,0.00214706977704,0.109070298662,1.21070604288,66,252,114.5,159.0,79.4528161867,1.14890766032,2.32870326463,5,4,0
22,66,1440,378.954545455,70.0,477.039590245,1.40056533782,3.51253262147,0.000121831893921,39.6380918026,1.98570904278,0.000488042831421,8.42290971962,4.24262794045,19.0178133973,66,535,138.769230769,66,168.966612016,1.91816082674,4.68051132425,16,13,0
12,66,918,162.916666667,70.0,234.661265918,2.73176487182,8.95638106417,0.000335931777954,0.211272954941,0.0569679953835,0.00122094154358,0.0885536839499,1.02163163976,2.05969044042,66,918,226.5,117.0,311.452377312,1.73506741447,4.09499668304,9,6,0
17,66,1440,403.470588235,66,531.222133403,1.21388034501,2.73072740244,3.00407409668e-05,39.8963019848,2.60403062403,0.000533938407898,9.6333636187,3.60903537277,14.0404593157,66,535,113.7,66.0,140.45358664,2.66523767795,8.10660948069,14,10,0
11,66,759,156.727272727,66,206.454085104,2.26424796513,6.67690633512,0.000121831893921,52.8178098202,5.65520319939,0.138382196426,15.7465864877,2.65084379273,8.05986496073,66,347,108.428571429,66,97.4589395487,2.03577721514,5.15464028161,9,7,0
28,66,1440,572.535714286,70.0,642.210940098,0.531413340347,1.33825268392,6.07967376709e-05,0.659210920334,0.0591351456112,0.000212907791138,0.137867851881,3.13809560815,13.4512796502,66,722,110.266666667,66,163.504726401,3.47351122473,13.0676116744,17,15,0
14,54,802,142.928571429,61.0,198.010989697,2.62431438395,8.83364940224,9.10758972168e-05,54.7173159122,4.24903746752,0.00576710700989,14.5691304551,3.17527731158,11.0827578602,54,802,151.5,60.0,245.966969327,2.26409107251,6.13342589647,11,8,0
14,66,1440,251.142857143,68.0,400.366235401,2.11705257945,6.11089538193,0.000122785568237,9.11404514313,0.887714147568,0.000854969024658,2.41378117715,3.01275280607,10.390480962,66,420,111.25,66.0,116.725907578,2.26552917668,6.13707097942,10,8,0
12,66,918,202.0,68.0,300.025832221,1.80451984934,4.28542069632,0.000121831893921,0.49508690834,0.0896883444353,0.00607299804688,0.179840196204,1.65939880557,3.78305067836,66,918,188.857142857,66,297.684122409,2.0408744473,5.1658617533,9,7,0
12,54,1440,266.25,59.0,410.172753239,1.9624517011,5.73437576618,0.000121831893921,56.2473139763,5.16540245576,0.00949096679688,16.1537078592,2.84592784033,9.09958782724,54,1440,340.857142857,54,493.933317816,1.47684162311,3.60389162174,9,7,0
