inst#,actual,predicted,error,prediction
7,1:0,1:0,,0.751
8,1:0,2:1,+,0.5
9,1:0,1:0,,0.703
10,1:0,1:0,,0.796
11,1:0,1:0,,0.958
12,1:0,1:0,,0.959
13,1:0,1:0,,0.958
14,1:0,1:0,,0.805
15,1:0,1:0,,1
16,1:0,1:0,,0.958
17,1:0,1:0,,0.787
18,1:0,1:0,,0.958
19,1:0,1:0,,0.929
20,1:0,1:0,,0.959
21,1:0,1:0,,0.958
22,1:0,1:0,,0.88
23,1:0,1:0,,0.958
24,1:0,1:0,,0.73
25,1:0,1:0,,0.705
26,1:0,1:0,,0.968
27,1:0,1:0,,0.594
28,1:0,1:0,,0.958
29,1:0,1:0,,0.716
30,1:0,1:0,,0.877
31,1:0,1:0,,0.999
32,1:0,1:0,,0.99
33,1:0,1:0,,0.85
34,1:0,1:0,,0.958
35,1:0,1:0,,0.98
36,1:0,1:0,,0.834
37,1:0,1:0,,0.958
38,1:0,1:0,,0.521
39,1:0,1:0,,0.857
40,1:0,1:0,,0.978
41,1:0,1:0,,0.95
42,1:0,1:0,,0.66
43,1:0,1:0,,0.95
44,1:0,1:0,,0.97
45,1:0,1:0,,0.958
46,1:0,1:0,,0.958
47,1:0,1:0,,0.898
48,1:0,1:0,,0.958
49,1:0,1:0,,0.958
50,1:0,1:0,,0.899
51,1:0,1:0,,0.958
52,1:0,1:0,,0.787
53,1:0,1:0,,0.958
54,1:0,2:1,+,0.61
55,1:0,1:0,,0.958
56,1:0,1:0,,0.962
57,1:0,1:0,,0.98
58,1:0,1:0,,0.993
59,1:0,1:0,,0.93
60,1:0,1:0,,0.979
61,1:0,1:0,,0.63
62,1:0,1:0,,0.958
63,1:0,1:0,,0.917
64,1:0,1:0,,0.55
65,1:0,2:1,+,0.532
66,1:0,1:0,,0.716
67,1:0,1:0,,0.93
68,1:0,1:0,,0.791
69,1:0,1:0,,1
70,1:0,1:0,,0.96
71,1:0,1:0,,0.89
72,1:0,1:0,,0.958
73,1:0,1:0,,0.958
74,1:0,1:0,,0.836
75,1:0,1:0,,0.768
76,1:0,1:0,,0.82
77,1:0,1:0,,0.958
78,1:0,1:0,,0.958
79,1:0,1:0,,0.902
80,1:0,1:0,,0.714
81,1:0,1:0,,0.904
82,1:0,1:0,,0.918
83,1:0,1:0,,0.958
84,1:0,1:0,,0.767
85,1:0,1:0,,0.76
86,1:0,1:0,,0.958
87,1:0,1:0,,0.868
88,1:0,1:0,,0.847
89,1:0,1:0,,0.879
90,1:0,1:0,,0.744
91,1:0,1:0,,0.958
92,2:1,2:1,,0.97
93,2:1,2:1,,0.929
94,2:1,2:1,,0.75
95,2:1,2:1,,0.623
96,2:1,2:1,,0.779
97,2:1,2:1,,0.931
98,2:1,2:1,,0.91
99,2:1,2:1,,0.619
100,2:1,2:1,,0.51
101,2:1,2:1,,0.551
102,2:1,2:1,,1
103,2:1,1:0,+,0.997
104,2:1,2:1,,0.92
105,2:1,2:1,,0.686
106,2:1,1:0,+,0.686
107,2:1,2:1,,1
108,2:1,2:1,,0.729
109,2:1,2:1,,1
110,2:1,2:1,,0.607
111,2:1,2:1,,1
112,2:1,2:1,,1
113,2:1,1:0,+,0.55
114,2:1,2:1,,1
115,2:1,2:1,,0.767
116,2:1,2:1,,0.956
117,2:1,1:0,+,0.847
118,2:1,2:1,,0.931
119,2:1,2:1,,0.652
120,2:1,2:1,,0.94
121,2:1,2:1,,0.71
122,2:1,2:1,,0.965
123,2:1,2:1,,0.965
124,2:1,2:1,,1
125,2:1,2:1,,1
126,2:1,2:1,,0.883
127,2:1,2:1,,0.607
128,2:1,2:1,,0.565
129,2:1,2:1,,0.58
130,2:1,2:1,,0.706
131,2:1,2:1,,0.755
132,2:1,2:1,,0.931
133,2:1,2:1,,0.98
134,2:1,2:1,,0.94
135,2:1,2:1,,0.79
136,2:1,1:0,+,0.648
137,2:1,2:1,,0.965
138,2:1,2:1,,1
139,2:1,1:0,+,0.73
140,2:1,2:1,,0.8
141,2:1,2:1,,1
142,2:1,2:1,,0.76
143,2:1,2:1,,0.791
144,2:1,2:1,,1
145,2:1,1:0,+,0.729
146,2:1,2:1,,0.97
147,2:1,2:1,,0.734
148,2:1,2:1,,0.967
149,2:1,2:1,,0.872
150,2:1,2:1,,0.94
151,2:1,2:1,,0.773
152,2:1,2:1,,0.871
153,2:1,1:0,+,0.869
154,2:1,1:0,+,0.84
155,2:1,2:1,,1
1,1:0,1:0,,0.99
2,1:0,1:0,,0.965
3,1:0,1:0,,0.84
4,1:0,1:0,,0.748
5,1:0,1:0,,0.879
6,1:0,1:0,,0.989
7,1:0,1:0,,0.97
8,1:0,1:0,,0.909
9,1:0,1:0,,0.832
10,1:0,1:0,,1
11,1:0,1:0,,0.965
12,1:0,1:0,,0.965
13,1:0,1:0,,1
14,1:0,1:0,,0.806
15,1:0,1:0,,0.965
16,1:0,1:0,,0.503
17,1:0,1:0,,0.965
18,1:0,1:0,,1
19,1:0,1:0,,0.768
20,1:0,1:0,,1
21,1:0,2:1,+,0.571
22,1:0,1:0,,0.567
23,1:0,1:0,,0.965
24,1:0,1:0,,1
25,1:0,1:0,,0.75
26,1:0,1:0,,1
27,1:0,1:0,,0.869
28,1:0,1:0,,0.996
29,1:0,1:0,,0.965
30,1:0,1:0,,0.965
31,1:0,1:0,,0.967
32,1:0,1:0,,0.9
33,1:0,1:0,,0.725
34,1:0,1:0,,0.81
35,1:0,1:0,,0.9
36,1:0,1:0,,0.965
37,1:0,1:0,,0.99
38,1:0,1:0,,0.909
39,1:0,1:0,,0.628
40,1:0,1:0,,1
41,1:0,1:0,,0.943
42,1:0,1:0,,0.777
43,1:0,1:0,,0.965
44,1:0,1:0,,0.95
45,1:0,1:0,,0.6
46,1:0,1:0,,0.876
47,1:0,1:0,,0.938
48,1:0,1:0,,0.883
49,1:0,1:0,,0.719
50,1:0,1:0,,0.668
51,1:0,1:0,,0.965
52,1:0,1:0,,0.97
53,1:0,1:0,,0.857
54,1:0,1:0,,0.87
55,1:0,1:0,,0.512
56,1:0,1:0,,0.65
57,1:0,1:0,,0.917
58,1:0,1:0,,0.719
59,1:0,1:0,,0.929
60,1:0,1:0,,0.965
61,1:0,1:0,,0.93
62,1:0,1:0,,0.739
63,1:0,1:0,,0.719
64,1:0,1:0,,0.708
65,1:0,1:0,,0.793
66,1:0,1:0,,0.99
67,1:0,1:0,,0.73
68,1:0,1:0,,0.76
69,1:0,1:0,,0.85
70,1:0,1:0,,1
71,1:0,1:0,,1
72,1:0,1:0,,0.873
73,1:0,1:0,,0.838
74,1:0,1:0,,0.99
75,1:0,1:0,,0.82
76,1:0,1:0,,1
77,1:0,1:0,,0.965
78,1:0,1:0,,0.81
79,1:0,1:0,,0.806
80,1:0,1:0,,0.84
81,1:0,1:0,,1
82,1:0,1:0,,0.791
83,1:0,1:0,,0.678
84,1:0,1:0,,0.988
85,1:0,1:0,,0.965
86,1:0,1:0,,0.916
87,1:0,1:0,,0.9
88,1:0,1:0,,0.747
89,1:0,1:0,,0.965
90,1:0,1:0,,0.745
91,1:0,1:0,,0.668
92,2:1,2:1,,0.838
93,2:1,2:1,,0.97
94,2:1,1:0,+,0.666
95,2:1,2:1,,0.952
96,2:1,2:1,,0.81
97,2:1,2:1,,0.713
98,2:1,2:1,,0.843
99,2:1,2:1,,0.654
100,2:1,2:1,,1
101,2:1,2:1,,0.91
102,2:1,2:1,,0.776
103,2:1,2:1,,0.59
104,2:1,1:0,+,0.534
105,2:1,2:1,,0.781
106,2:1,2:1,,1
107,2:1,2:1,,0.76
108,2:1,2:1,,0.565
109,2:1,2:1,,0.98
110,2:1,2:1,,0.881
111,2:1,2:1,,0.508
112,2:1,2:1,,0.53
113,2:1,2:1,,0.98
114,2:1,2:1,,1
115,2:1,2:1,,0.99
116,2:1,2:1,,0.753
117,2:1,2:1,,0.87
118,2:1,2:1,,1
119,2:1,1:0,+,0.582
120,2:1,2:1,,0.719
121,2:1,1:0,+,0.556
122,2:1,2:1,,0.656
123,2:1,2:1,,0.98
124,2:1,2:1,,0.529
125,2:1,2:1,,0.591
126,2:1,2:1,,1
127,2:1,2:1,,0.88
128,2:1,2:1,,0.862
129,2:1,2:1,,1
130,2:1,2:1,,0.9
131,2:1,2:1,,0.909
132,2:1,2:1,,0.91
133,2:1,2:1,,0.65
134,2:1,2:1,,1
135,2:1,2:1,,0.718
136,2:1,2:1,,1
137,2:1,2:1,,0.868
138,2:1,1:0,+,0.82
139,2:1,2:1,,1
140,2:1,2:1,,0.913
141,2:1,2:1,,1
142,2:1,2:1,,0.96
143,2:1,2:1,,0.627
144,2:1,2:1,,0.98
145,2:1,2:1,,1
146,2:1,2:1,,0.92
147,2:1,2:1,,0.79
148,2:1,2:1,,0.67
149,2:1,2:1,,0.96
150,2:1,2:1,,0.85
151,2:1,1:0,+,0.965
152,2:1,2:1,,0.99
153,2:1,2:1,,0.79
154,2:1,2:1,,0.723
155,2:1,1:0,+,0.58
1,1:0,1:0,,0.965
2,1:0,1:0,,0.927
3,1:0,1:0,,0.97
4,1:0,1:0,,0.83
5,1:0,1:0,,0.885
6,1:0,1:0,,0.95
7,1:0,1:0,,0.859
8,1:0,1:0,,1
9,1:0,1:0,,0.999
10,1:0,1:0,,0.53
11,1:0,1:0,,0.965
12,1:0,1:0,,0.965
13,1:0,1:0,,0.965
14,1:0,1:0,,0.99
15,1:0,1:0,,0.88
16,1:0,1:0,,0.83
17,1:0,1:0,,0.959
18,1:0,1:0,,0.939
19,1:0,1:0,,0.959
20,1:0,1:0,,0.978
21,1:0,1:0,,0.965
22,1:0,1:0,,0.627
23,1:0,1:0,,0.92
24,1:0,1:0,,1
25,1:0,1:0,,1
26,1:0,1:0,,0.87
27,1:0,1:0,,0.719
28,1:0,1:0,,0.965
29,1:0,1:0,,0.674
30,1:0,1:0,,0.883
31,1:0,1:0,,0.81
32,1:0,1:0,,0.728
33,1:0,1:0,,0.965
34,1:0,1:0,,0.977
35,1:0,1:0,,0.897
36,1:0,1:0,,0.85
37,1:0,1:0,,0.965
38,1:0,1:0,,0.978
39,1:0,1:0,,0.668
40,1:0,1:0,,0.573
41,1:0,1:0,,0.778
42,1:0,1:0,,0.95
43,1:0,1:0,,0.965
44,1:0,1:0,,0.965
45,1:0,1:0,,0.822
46,1:0,1:0,,0.99
47,1:0,1:0,,0.8
48,1:0,1:0,,0.965
49,1:0,1:0,,0.775
50,1:0,1:0,,0.789
51,1:0,1:0,,0.961
52,1:0,1:0,,0.965
53,1:0,1:0,,0.965
54,1:0,1:0,,0.965
55,1:0,2:1,+,0.841
56,1:0,1:0,,0.989
57,1:0,1:0,,0.965
58,1:0,1:0,,0.66
59,1:0,1:0,,0.99
60,1:0,1:0,,0.757
61,1:0,1:0,,0.965
62,1:0,1:0,,0.892
63,1:0,2:1,+,0.88
64,1:0,1:0,,0.668
65,1:0,1:0,,0.97
66,1:0,1:0,,0.588
67,1:0,1:0,,0.965
68,1:0,1:0,,0.869
69,1:0,1:0,,0.965
70,1:0,1:0,,0.88
71,1:0,1:0,,0.676
72,1:0,1:0,,0.965
73,1:0,1:0,,0.855
74,1:0,1:0,,0.799
75,1:0,1:0,,1
76,1:0,1:0,,0.99
77,1:0,1:0,,1
78,1:0,1:0,,0.874
79,1:0,1:0,,0.965
80,1:0,1:0,,0.965
81,1:0,1:0,,0.976
82,1:0,1:0,,0.979
83,1:0,1:0,,0.56
84,1:0,1:0,,0.837
85,1:0,1:0,,0.93
86,1:0,1:0,,0.977
87,1:0,1:0,,1
88,1:0,1:0,,0.908
89,1:0,1:0,,0.99
90,1:0,1:0,,0.879
91,2:1,2:1,,0.841
92,2:1,2:1,,0.701
93,2:1,2:1,,0.51
94,2:1,2:1,,0.92
95,2:1,2:1,,0.74
96,2:1,2:1,,0.872
97,2:1,2:1,,0.99
98,2:1,2:1,,0.9
99,2:1,2:1,,1
100,2:1,2:1,,0.85
101,2:1,1:0,+,0.54
102,2:1,2:1,,0.977
103,2:1,2:1,,1
104,2:1,2:1,,0.83
105,2:1,2:1,,1
106,2:1,1:0,+,0.759
107,2:1,1:0,+,0.62
108,2:1,2:1,,0.548
109,2:1,2:1,,0.999
110,2:1,2:1,,0.96
111,2:1,2:1,,0.925
112,2:1,2:1,,0.74
113,2:1,1:0,+,0.54
114,2:1,2:1,,0.743
115,2:1,2:1,,0.69
116,2:1,2:1,,0.76
117,2:1,2:1,,0.921
118,2:1,1:0,+,0.686
119,2:1,2:1,,1
120,2:1,2:1,,0.99
121,2:1,2:1,,0.56
122,2:1,2:1,,1
123,2:1,2:1,,0.73
124,2:1,2:1,,0.813
125,2:1,2:1,,0.69
126,2:1,2:1,,0.96
127,2:1,1:0,+,0.56
128,2:1,2:1,,0.99
129,2:1,2:1,,0.738
130,2:1,2:1,,0.92
131,2:1,2:1,,0.9
132,2:1,1:0,+,0.801
133,2:1,2:1,,1
134,2:1,2:1,,0.788
135,2:1,2:1,,0.72
136,2:1,2:1,,1
137,2:1,2:1,,0.664
138,2:1,2:1,,0.79
139,2:1,2:1,,0.958
140,2:1,2:1,,0.85
141,2:1,2:1,,0.96
142,2:1,2:1,,0.635
143,2:1,2:1,,0.914
144,2:1,2:1,,1
145,2:1,1:0,+,0.965
146,2:1,2:1,,0.731
147,2:1,1:0,+,0.66
148,2:1,2:1,,0.54
149,2:1,2:1,,0.88
150,2:1,2:1,,0.529
151,2:1,2:1,,0.76
152,2:1,2:1,,1
153,2:1,2:1,,0.634
154,2:1,2:1,,0.88
1,1:0,1:0,,0.874
2,1:0,1:0,,0.87
3,1:0,1:0,,0.968
4,1:0,1:0,,0.968
5,1:0,1:0,,0.96
6,1:0,1:0,,0.95
7,1:0,2:1,+,0.791
8,1:0,1:0,,0.769
9,1:0,1:0,,0.968
10,1:0,1:0,,0.839
11,1:0,1:0,,0.788
12,1:0,1:0,,0.85
13,1:0,1:0,,0.862
14,1:0,1:0,,0.922
15,1:0,1:0,,0.549
16,1:0,1:0,,0.922
17,1:0,1:0,,0.86
18,1:0,2:1,+,0.54
19,1:0,1:0,,0.979
20,1:0,1:0,,0.862
21,1:0,1:0,,0.968
22,1:0,1:0,,0.968
23,1:0,1:0,,0.77
24,1:0,2:1,+,0.55
25,1:0,1:0,,0.98
26,1:0,1:0,,0.889
27,1:0,1:0,,0.967
28,1:0,1:0,,0.968
29,1:0,1:0,,0.94
30,1:0,1:0,,0.949
31,1:0,1:0,,0.936
32,1:0,1:0,,0.596
33,1:0,1:0,,0.883
34,1:0,1:0,,0.968
35,1:0,1:0,,0.854
36,1:0,1:0,,0.968
37,1:0,1:0,,0.67
38,1:0,1:0,,0.789
39,1:0,1:0,,0.968
40,1:0,1:0,,0.618
41,1:0,1:0,,0.889
42,1:0,1:0,,0.996
43,1:0,1:0,,0.96
44,1:0,1:0,,0.94
45,1:0,1:0,,0.968
46,1:0,1:0,,0.969
47,1:0,1:0,,0.53
48,1:0,1:0,,0.94
49,1:0,1:0,,0.968
50,1:0,1:0,,0.61
51,1:0,1:0,,0.869
52,1:0,1:0,,0.968
53,1:0,1:0,,0.968
54,1:0,1:0,,0.709
55,1:0,1:0,,0.98
56,1:0,1:0,,0.93
57,1:0,1:0,,0.971
58,1:0,1:0,,0.855
59,1:0,1:0,,1
60,1:0,1:0,,0.864
61,1:0,1:0,,0.791
62,1:0,1:0,,0.86
63,1:0,1:0,,0.98
64,1:0,1:0,,0.964
65,1:0,1:0,,0.99
66,1:0,1:0,,0.95
67,1:0,1:0,,0.925
68,1:0,1:0,,0.969
69,1:0,1:0,,0.968
70,1:0,1:0,,0.869
71,1:0,1:0,,0.729
72,1:0,1:0,,0.809
73,1:0,1:0,,0.54
74,1:0,1:0,,0.88
75,1:0,1:0,,0.964
76,1:0,1:0,,0.57
77,1:0,1:0,,0.865
78,1:0,1:0,,0.92
79,1:0,1:0,,0.68
80,1:0,1:0,,0.81
81,1:0,1:0,,1
82,1:0,1:0,,0.754
83,1:0,1:0,,0.618
84,1:0,1:0,,0.968
85,1:0,1:0,,0.95
86,1:0,1:0,,0.968
87,1:0,1:0,,0.755
88,1:0,1:0,,0.968
89,1:0,1:0,,0.99
90,1:0,1:0,,0.968
91,2:1,2:1,,0.82
92,2:1,1:0,+,0.618
93,2:1,2:1,,0.806
94,2:1,2:1,,0.691
95,2:1,2:1,,1
96,2:1,2:1,,0.752
97,2:1,2:1,,1
98,2:1,2:1,,0.51
99,2:1,2:1,,0.966
100,2:1,2:1,,0.966
101,2:1,2:1,,0.95
102,2:1,2:1,,0.89
103,2:1,2:1,,0.625
104,2:1,2:1,,1
105,2:1,2:1,,0.966
106,2:1,2:1,,0.98
107,2:1,2:1,,0.87
108,2:1,1:0,+,0.788
109,2:1,2:1,,1
110,2:1,2:1,,0.651
111,2:1,2:1,,0.86
112,2:1,2:1,,1
113,2:1,2:1,,0.925
114,2:1,1:0,+,0.539
115,2:1,2:1,,0.94
116,2:1,2:1,,1
117,2:1,2:1,,0.9
118,2:1,1:0,+,0.65
119,2:1,2:1,,0.904
120,2:1,2:1,,1
121,2:1,2:1,,0.809
122,2:1,2:1,,0.95
123,2:1,2:1,,0.675
124,2:1,1:0,+,0.539
125,2:1,1:0,+,0.615
126,2:1,2:1,,0.513
127,2:1,2:1,,0.508
128,2:1,2:1,,0.59
129,2:1,2:1,,1
130,2:1,2:1,,1
131,2:1,1:0,+,0.539
132,2:1,2:1,,0.918
133,2:1,2:1,,0.66
134,2:1,1:0,+,0.968
135,2:1,2:1,,0.93
136,2:1,2:1,,0.959
137,2:1,2:1,,0.89
138,2:1,2:1,,0.951
139,2:1,2:1,,0.7
140,2:1,2:1,,1
141,2:1,2:1,,0.96
142,2:1,2:1,,0.95
143,2:1,2:1,,0.5
144,2:1,2:1,,0.95
145,2:1,2:1,,1
146,2:1,2:1,,0.78
147,2:1,2:1,,0.966
148,2:1,1:0,+,0.609
149,2:1,2:1,,1
150,2:1,2:1,,1
151,2:1,2:1,,0.711
152,2:1,2:1,,0.84
153,2:1,2:1,,0.94
154,2:1,1:0,+,0.644

