@RELATION pcap
@ATTRIBUTE frameNum NUMERIC
@ATTRIBUTE frameStat_min NUMERIC
@ATTRIBUTE frameStat_max NUMERIC
@ATTRIBUTE frameStat_mean NUMERIC
@ATTRIBUTE frameStat_median NUMERIC
@ATTRIBUTE frameStat_sdev NUMERIC
@ATTRIBUTE frameStat_skewness NUMERIC
@ATTRIBUTE frameStat_kurtosis NUMERIC
@ATTRIBUTE epoStat_min NUMERIC
@ATTRIBUTE epoStat_max NUMERIC
@ATTRIBUTE epoStat_mean NUMERIC
@ATTRIBUTE epoStat_median NUMERIC
@ATTRIBUTE epoStat_sdev NUMERIC
@ATTRIBUTE epoStat_skewness NUMERIC
@ATTRIBUTE epoStat_kurtosis NUMERIC
@ATTRIBUTE upStat_min NUMERIC
@ATTRIBUTE upStat_max NUMERIC
@ATTRIBUTE upStat_mean NUMERIC
@ATTRIBUTE upStat_median NUMERIC
@ATTRIBUTE upStat_sdev NUMERIC
@ATTRIBUTE upStat_skewness NUMERIC
@ATTRIBUTE upStat_kurtosis NUMERIC
@ATTRIBUTE non_httpFrameNum NUMERIC
@ATTRIBUTE upCounter NUMERIC
@ATTRIBUTE class {0, 1, 2}

@DATA
15,54,1069,203.466666667,56,280.92629322,2.03946713766,6.2688976068,9.20295715332e-05,0.387908935547,0.0876792158399,0.00978100299835,0.135726773703,1.26374152585,2.89339362969,54,1069,214.75,64.0,331.882038532,2.05567235758,5.52374101899,11,8,0
12,54,477,141.083333333,65.0,144.065065354,1.3390095834,3.11205522501,6.103515625e-05,0.392456054688,0.111577814276,0.0140070915222,0.145106441336,0.910819906633,2.12549362507,54,477,119.0,54,146.335231575,2.0307035289,5.14325162237,9,7,0
18,54,1020,305.777777778,65.0,372.821010906,1.04405106256,2.42793520868,0.000214099884033,30.0506281853,3.55775900448,0.161041975021,8.81239649272,2.40193323832,6.89030410306,54,1020,297.166666667,54.0,417.363517279,1.15411768155,2.33286538556,12,12,0
17,54,1061,186.117647059,56,266.362177662,2.23289501289,7.17118910338,0.000152111053467,60.1747438908,4.82429118454,0.108474493027,14.7283414641,3.30894582879,12.4891287025,54,1061,183.0,60.0,300.906630037,2.43318972522,7.27351620036,13,10,0
13,54,473,133.923076923,56,139.372473575,1.45607475712,3.44101502263,0.0001220703125,60.9622189999,6.47220098972,0.17039501667,16.9218086872,2.74962790506,8.98098082556,54,473,110.375,60.0,137.240607602,2.25599955205,6.11248725494,10,8,0
15,54,447,121.666666667,56,126.285215111,1.64046098651,3.97378434936,0.0001220703125,51.2659609318,4.90302606991,0.153609991074,13.4063736728,2.94664808893,10.2522832879,54,447,102.555555556,54,121.982795792,2.45916338551,7.07989764683,12,9,0
9,66,416,134.0,66,125.40069112,1.46843516429,3.35228846139,0.000244140625,12.9240410328,2.22716525197,0.156494021416,4.27043119912,1.8848914331,4.97491147543,66,312,108.333333333,70.0,91.129334221,1.78477411952,4.19251216725,7,6,0
10,66,338,117.0,70.0,98.6843452631,1.54406042239,3.46678271932,0.000121831893921,1.72656297684,0.439999103546,0.0169370174408,0.652788474854,1.20949158059,2.67184259308,66,288,104.333333333,70.0,82.1901589135,1.78384593364,4.19078393819,8,6,0
10,66,403,125.9,70.0,117.615007546,1.60743900244,3.75578078744,0.0001220703125,13.5473940372,2.61068389151,0.287933111191,4.7409788601,1.5165208035,3.55588430539,66,312,108.333333333,70.0,91.129334221,1.78477411952,4.19251216725,8,6,0
10,66,316,107.2,70.0,81.8349558563,1.78112464723,4.55098037499,9.10758972168e-05,1.48858594894,0.243614991506,0.118103027344,0.448258572112,2.30764173163,6.64947959665,66,212,91.6666666667,70.0,53.8939287449,1.77730275688,4.17843919127,8,6,0
